episode,timestep,reward
38,2000,-105.1293
74,4000,-106.202
119,6000,-105.0127
156,8000,-102.3419
207,10000,-97.2759
246,12000,-106.8369
285,14000,-107.2299
331,16000,-105.2667
374,18000,-95.0671
408,20000,-95.3241
448,22000,-102.755
494,24000,-102.1584
534,26000,-97.9692
586,28000,-89.2526
626,30000,-101.8215
658,32000,-101.1202
698,34000,-107.1364
747,36000,-105.9531
791,38000,-82.4213
828,40000,-97.0698
858,42000,-101.558
888,44000,-107.0262
916,46000,-102.4853
950,48000,-103.0434
994,50000,-99.772
1034,52000,-106.1725
1076,54000,-105.5413
1116,56000,-95.9105
1158,58000,-105.5952
1201,60000,-93.4397
1233,62000,-95.4806
1259,64000,-114.3246
1292,66000,-97.4255
1335,68000,-97.1284
1371,70000,-103.8987
1394,72000,-113.594
1433,74000,-104.4736
1467,76000,-108.1619
1506,78000,-102.3425
1548,80000,-93.2764
1587,82000,-96.7736
1628,84000,-87.5582
1675,86000,-102.4315
1719,88000,-108.6547
1766,90000,-102.8808
1813,92000,-102.3207
1854,94000,-103.1152
1903,96000,-102.328
1951,98000,-97.3391
1995,100000,-97.895
2029,102000,-108.996
2070,104000,-106.7072
